MALE,86,SECONDARY,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,7,NO,NO,NO,NONE,175,60,>1K
MALE,65,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,8,NO,NO,NO,NONE,164,60,>1K
MALE,44,SECONDARY,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,YES,PASSIVE,179,80,>1K
MALE,61,PRIMARY/NO EDUCATION,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,8,NO,NO,NO,NONE,176,78,>1K
FEMALE,42,VOCATIONAL/GRAMMAR,DIVORCED,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,YES,ACTIVE,164,67,<=1K
MALE,36,VOCATIONAL/GRAMMAR,DIVORCED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,0,YES,NO,YES,PASSIVE,194,145,>1K
FEMALE,35,VOCATIONAL/GRAMMAR,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,NONE,168,62,<=1K
MALE,59,VOCATIONAL/GRAMMAR,DIVORCED,MIXED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,172,65,>1K
FEMALE,36,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,NONE,168,78,<=1K
FEMALE,55,VOCATIONAL/GRAMMAR,MARRIED,DELIGHTED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,NONE,161,80,<=1K
MALE,19,VOCATIONAL/GRAMMAR,SINGLE,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,8,NO,NO,NO,NONE,178,60,<=1K
FEMALE,57,POST-SECONDARY OR HIGHER,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,PASSIVE,166,55,<=1K
FEMALE,83,SECONDARY,MARRIED,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,6,NO,NO,NO,PASSIVE,155,52,<=1K
FEMALE,57,VOCATIONAL/GRAMMAR,MARRIED,PLEASED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,NONE,160,83,>1K
MALE,62,VOCATIONAL/GRAMMAR,WIDOWED,MIXED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,NONE,170,83,>1K
