FEMALE,96,POST-SECONDARY OR HIGHER,WIDOWED,1837,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,NONE,167,62
FEMALE,57,VOCATIONAL/GRAMMAR,MARRIED,0,PLEASED,IT`S DIFFICULT TO TELL,0,NO,NO,NO,NONE,153,76
FEMALE,16,VOCATIONAL/GRAMMAR,SINGLE,0,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,4,NO,YES,NO,PASSIVE,171,77
FEMALE,38,PRIMARY/NO EDUCATION,SINGLE,389,MOSTLY SATISFIED,MOST PEOPLE CAN BE TRUSTED,9,NO,NO,NO,PASSIVE,153,66
MALE,52,VOCATIONAL/GRAMMAR,MARRIED,0,MIXED,ONE CAN`T BE TOO CAREFUL,3,YES,YES,NO,PASSIVE,173,99
FEMALE,56,VOCATIONAL/GRAMMAR,MARRIED,1944,MIXED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,164,76
MALE,23,SECONDARY,MARRIED,0,PLEASED,MOST PEOPLE CAN BE TRUSTED,8,NO,NO,NO,PASSIVE,179,56
MALE,26,SECONDARY,MARRIED,992,PLEASED,ONE CAN`T BE TOO CAREFUL,0,NO,NO,NO,PASSIVE,165,56
FEMALE,90,VOCATIONAL/GRAMMAR,SINGLE,0,MIXED,IT`S DIFFICULT TO TELL,1,YES,NO,NO,PASSIVE,165,73
FEMALE,64,VOCATIONAL/GRAMMAR,MARRIED,0,PLEASED,IT`S DIFFICULT TO TELL,9,NO,NO,NO,NONE,152,70
MALE,83,PRIMARY/NO EDUCATION,SINGLE,0,MIXED,ONE CAN`T BE TOO CAREFUL,0,NO,NO,NO,NONE,161,48
FEMALE,41,VOCATIONAL/GRAMMAR,SINGLE,1927,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,YES,PASSIVE,163,63
MALE,86,POST-SECONDARY OR HIGHER,MARRIED,0,MIXED,ONE CAN`T BE TOO CAREFUL,0,NO,NO,NO,NONE,177,73
MALE,34,VOCATIONAL/GRAMMAR,MARRIED,423,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,9,NO,NO,NO,PASSIVE,169,78
MALE,42,SECONDARY,MARRIED,109,PLEASED,ONE CAN`T BE TOO CAREFUL,8,NO,NO,NO,PASSIVE,164,51
FEMALE,48,VOCATIONAL/GRAMMAR,MARRIED,953,MOSTLY SATISFIED,IT`S DIFFICULT TO TELL,9,NO,NO,NO,NONE,163,74
MALE,16,POST-SECONDARY OR HIGHER,SINGLE,62,MOSTLY SATISFIED,IT`S DIFFICULT TO TELL,10,NO,NO,NO,NONE,166,42
FEMALE,16,VOCATIONAL/GRAMMAR,SINGLE,1883,PLEASED,MOST PEOPLE CAN BE TRUSTED,5,NO,NO,NO,PASSIVE,166,88
FEMALE,16,POST-SECONDARY OR HIGHER,SINGLE,0,PLEASED,MOST PEOPLE CAN BE TRUSTED,11,NO,NO,NO,PASSIVE,169,38
FEMALE,44,POST-SECONDARY OR HIGHER,MARRIED,657,MOSTLY SATISFIED,MOST PEOPLE CAN BE TRUSTED,6,NO,NO,NO,ACTIVE,156,65
MALE,30,SECONDARY,WIDOWED,1459,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,1,NO,NO,NO,NONE,160,103
FEMALE,56,VOCATIONAL/GRAMMAR,SINGLE,583,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,15,NO,NO,NO,PASSIVE,168,46
FEMALE,47,POST-SECONDARY OR HIGHER,MARRIED,1471,PLEASED,IT`S DIFFICULT TO TELL,0,NO,NO,NO,ACTIVE,159,83
FEMALE,40,PRIMARY/NO EDUCATION,MARRIED,430,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,34,YES,NO,YES,NONE,183,71
MALE,39,VOCATIONAL/GRAMMAR,MARRIED,1720,PLEASED,ONE CAN`T BE TOO CAREFUL,0,YES,NO,NO,NONE,177,79
FEMALE,31,VOCATIONAL/GRAMMAR,MARRIED,3414,MOSTLY SATISFIED,IT`S DIFFICULT TO TELL,27,NO,NO,NO,PASSIVE,168,72
MALE,30,PRIMARY/NO EDUCATION,SINGLE,1146,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,0,YES,NO,YES,ACTIVE,182,73
FEMALE,41,PRIMARY/NO EDUCATION,MARRIED,171,DELIGHTED,IT`S DIFFICULT TO TELL,3,NO,NO,NO,NONE,162,69
MALE,24,VOCATIONAL/GRAMMAR,SINGLE,4344,PLEASED,IT`S DIFFICULT TO TELL,7,NO,NO,NO,ACTIVE,162,62
MALE,27,POST-SECONDARY OR HIGHER,SINGLE,141,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,7,NO,NO,YES,ACTIVE,182,64
FEMALE,56,POST-SECONDARY OR HIGHER,SINGLE,0,MIXED,IT`S DIFFICULT TO TELL,4,NO,NO,NO,NONE,160,65
FEMALE,20,POST-SECONDARY OR HIGHER,MARRIED,93,DELIGHTED,MOST PEOPLE CAN BE TRUSTED,10,NO,NO,NO,PASSIVE,172,58
MALE,74,VOCATIONAL/GRAMMAR,MARRIED,436,UNHAPPY,MOST PEOPLE CAN BE TRUSTED,4,NO,NO,NO,ACTIVE,161,78
FEMALE,21,POST-SECONDARY OR HIGHER,WIDOWED,3735,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,NONE,150,44
FEMALE,73,PRIMARY/NO EDUCATION,SINGLE,1231,MIXED,IT`S DIFFICULT TO TELL,23,NO,NO,NO,ACTIVE,180,43
FEMALE,36,VOCATIONAL/GRAMMAR,MARRIED,1598,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,8,NO,NO,NO,NONE,164,80
MALE,16,SECONDARY,MARRIED,115,PLEASED,ONE CAN`T BE TOO CAREFUL,6,NO,NO,NO,ACTIVE,170,89
MALE,18,POST-SECONDARY OR HIGHER,MARRIED,0,MOSTLY SATISFIED,IT`S DIFFICULT TO TELL,0,NO,NO,NO,ACTIVE,164,86
FEMALE,67,VOCATIONAL/GRAMMAR,MARRIED,507,MIXED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,NONE,163,50
FEMALE,48,VOCATIONAL/GRAMMAR,MARRIED,0,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,4,NO,NO,NO,NONE,162,81
FEMALE,22,PRIMARY/NO EDUCATION,DIVORCED,0,MIXED,IT`S DIFFICULT TO TELL,7,NO,NO,NO,NONE,180,68
FEMALE,34,SECONDARY,MARRIED,928,MOSTLY SATISFIED,ONE CAN`T BE TOO CAREFUL,10,NO,NO,NO,NONE,166,84
MALE,75,PRIMARY/NO EDUCATION,MARRIED,684,DELIGHTED,ONE CAN`T BE TOO CAREFUL,13,YES,YES,YES,NONE,178,114
FEMALE,28,VOCATIONAL/GRAMMAR,MARRIED,1946,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,NONE,182,76
MALE,53,VOCATIONAL/GRAMMAR,MARRIED,2084,DELIGHTED,ONE CAN`T BE TOO CAREFUL,2,NO,NO,NO,PASSIVE,172,56
MALE,64,VOCATIONAL/GRAMMAR,SINGLE,0,PLEASED,IT`S DIFFICULT TO TELL,4,YES,NO,NO,PASSIVE,165,63
MALE,17,POST-SECONDARY OR HIGHER,SINGLE,56,PLEASED,ONE CAN`T BE TOO CAREFUL,7,NO,NO,NO,PASSIVE,162,51
FEMALE,40,SECONDARY,SINGLE,0,MOSTLY DISSATISFIED,ONE CAN`T BE TOO CAREFUL,8,NO,NO,NO,ACTIVE,162,40
FEMALE,37,POST-SECONDARY OR HIGHER,MARRIED,0,MIXED,ONE CAN`T BE TOO CAREFUL,8,NO,NO,NO,NONE,165,37
MALE,16,POST-SECONDARY OR HIGHER,MARRIED,0,PLEASED,IT`S DIFFICULT TO TELL,2,NO,NO,NO,PASSIVE,173,63
FEMALE,54,PRIMARY/NO EDUCATION,MARRIED,636,PLEASED,IT`S DIFFICULT TO TELL,7,NO,NO,NO,PASSIVE,175,65
MALE,43,SECONDARY,MARRIED,2432,PLEASED,IT`S DIFFICULT TO TELL,5,NO,YES,NO,NONE,157,79
FEMALE,45,POST-SECONDARY OR HIGHER,MARRIED,628,PLEASED,ONE CAN`T BE TOO CAREFUL,8,NO,NO,NO,NONE,165,47
MALE,16,SECONDARY,SINGLE,0,PLEASED,ONE CAN`T BE TOO CAREFUL,5,NO,NO,NO,NONE,173,77
